name,pdg_id,charge,mass_mev,mass_err_mev,width_mev,width_err_mev,is_stable,nf,mass_calc_mev,error_pct,factorization,residual_p,is_3_smooth,quarks,I,J,P,C,configuracion,familia,categoria
Lambda(1600)0,23122,0,1600.0,30.0,200.0,50.0,0,3131,1599.9377002391,0.0038937350562520123,3131,3131,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1670)0,33122,0,1674.0,4.0,30.0,5.0,0,3276,1674.0325474236,0.0019442905376289214,2^2 · 3^2 · 91,91,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1690)0,13124,0,1690.0,5.0,70.0,10.0,0,3307,1689.8735147527,0.007484334159764771,3307,3307,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1800)0,43122,0,1800.0,50.0,200.0,50.0,0,3523,1800.2492871103,0.013849283905554129,3523,3523,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1810)0,53122,0,1790.0,50.0,110.0,60.0,0,3503,1790.0293081882999,0.0016373289552997162,3503,3503,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1820)0,3126,0,1820.0,5.0,80.0,10.0,0,3562,1820.1782460082,0.009793736714282903,2^1 · 3^0 · 1781,1781,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1830)0,13126,0,1825.0,5.0,90.0,30.0,0,3571,1824.7772365230999,0.012206217912335726,3571,3571,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(1890)0,23124,0,1890.0,20.0,120.0,40.0,0,3699,1890.1851016238998,0.009793736714272723,2^0 · 3^3 · 137,137,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(2100)0,3128,0,2100.0,10.0,200.0,50.0,0,4110,2100.2056684709996,0.009793736714267911,2^1 · 3^1 · 685,685,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
Lambda(2110)0,23126,0,2090.0,40.0,250.0,50.0,0,4090,2089.9856895489997,0.0006847105741749212,2^1 · 3^0 · 2045,2045,False,u|d|s,0,0.5,1,,Octeto,baryon_octet,BARYON
